date,amount,category,description
01-06-2026,25000.0,Income,Monthly Salary
01-06-2026,1800.0,Expense,House Rent
02-06-2026,250.0,Expense,Breakfast and Lunch
02-06-2026,120.0,Expense,Metro Card Recharge
03-06-2026,500.0,Expense,Groceries
03-06-2026,2000.0,Income,Freelance Payment
04-06-2026,350.0,Expense,Movie Ticket
04-06-2026,800.0,Expense,Electricity Bill
05-06-2026,150.0,Expense,Coffee
05-06-2026,400.0,Expense,Medicines
06-06-2026,600.0,Expense,Clothing
06-06-2026,250.0,Expense,Cab Fare
07-06-2026,1200.0,Expense,Course Fee
07-06-2026,300.0,Expense,Dinner
08-06-2026,5000.0,Income,Performance Bonus
08-06-2026,1000.0,Expense,Bus Ticket
09-06-2026,450.0,Expense,Internet Bill
09-06-2026,200.0,Expense,Snacks
10-06-2026,750.0,Expense,Shoes
10-06-2026,150.0,Expense,Auto Fare
11-06-2026,3500.0,Income,Project Payment
11-06-2026,300.0,Expense,Bowling
12-06-2026,900.0,Expense,Groceries
12-06-2026,600.0,Expense,Doctor Visit
13-06-2026,500.0,Expense,Books
13-06-2026,180.0,Expense,Bus Fare
14-06-2026,1200.0,Expense,Electronics
14-06-2026,350.0,Expense,Restaurant
15-06-2026,1500.0,Income,Tutoring Income
15-06-2026,950.0,Expense,Water Bill
16-06-2026,250.0,Expense,Cafe
16-06-2026,700.0,Expense,Concert Ticket
17-06-2026,1500.0,Expense,Train Ticket
17-06-2026,400.0,Expense,Kitchen Items
18-06-2026,3000.0,Income,Investment Return
18-06-2026,550.0,Expense,Lab Test
19-06-2026,180.0,Expense,Metro Fare
19-06-2026,650.0,Expense,Dinner with Friends
20-06-2026,1232.0,Income,Salary
20-06-2026,400.0,Expense,Groceries
21-06-2026,850.0,Expense,Gas Bill
21-06-2026,450.0,Expense,Backpack
22-06-2026,300.0,Expense,Lunch
22-06-2026,2500.0,Income,Freelance Payment
23-06-2026,150.0,Expense,Bus Pass
23-06-2026,600.0,Expense,Dental Checkup
24-06-2026,900.0,Expense,Exam Fee
24-06-2026,500.0,Expense,Streaming Subscription
25-06-2026,25000.0,Income,Monthly Salary
25-06-2026,700.0,Expense,Headphones
26-06-2026,350.0,Expense,Pizza
26-06-2026,200.0,Expense,Petrol
27-06-2026,4500.0,Income,Side Hustle
27-06-2026,800.0,Expense,Hotel Booking
28-06-2026,550.0,Expense,Mobile Recharge
28-06-2026,400.0,Expense,Gaming
29-06-2026,950.0,Expense,Groceries
29-06-2026,300.0,Expense,Ice Cream
30-06-2026,5000.0,Income,Performance Bonus
30-06-2026,750.0,Expense,Medical Checkup
30-06-2026,1200.0,Expense,Online Certification
